"","NA.","ID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","MTurkCode","condition","text","name","consent","commit","frame_pov","time_pov_1","time_pov_2","time_pov_3","time_pov_4","frame_ind","time_ind_1","time_ind_2","time_ind_3","time_ind_4","frame.com","tim_com_1","tim_com_2","tim_com_3","tim_com_4","donation_pov_1","donation_pov_2","mission","encourage","statement1","stat.ladder_14","stat.me.N","stat.me.N_reversed","spot1","recip.improve","recip.impact","recip.ladder_14","comp.intro","check.wage","check.who","intro","priorgiving","age","gender","income","hhsize","educ","educ.parent","race","party","religion","religiosity","pwe_4","usemoney","feedback.survey","code","LocationLatitude","LocationLongitude","LocationAccuracy","in.progress","survey.id","failchecks","usa.ip","dup_IP","stat.me","treat","pov","ind","com","donation_me","donation_org","donated","donor_status","recip.impact_r","recip.improve_r","recip.ladder_r","priordonor","gen.fem","income.hh","hi.income.hh","hi.income","edu.self.ba","edu.par.ba","race.minor","is.religi","is.chr","is.dem","priordonor.c","gen.fem.c","hi.income.hh.c","edu.self.ba.c","race.minor.c","is.religi.c","is.chr.c","is.dem.c"
"85",85,"R_3qKikacISnRdNzL","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:11","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,17.285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,1,3,1,5,4,NA,2,4,4,5,1,1,4,1,1,32,1,50000,1,5,6,1,3,3,1,2,"food","no",1,NA,NA,NA,0,"R_3qKikacISnRdNzL",FALSE,NA,FALSE,4,"Pov",1,0,0,50,50,TRUE,5,4,4,6,0,0,50000,1,0,1,1,0,0,0,1,-0.470631424375918,-0.515062454077884,0.511078286558346,0.454812637766348,-0.258633357825129,-0.386480529022777,-0.516531961792799,0.563556208670096
"86",86,"R_3NR1zuMINiZVc4w","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:04","12/15/18 15:13",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,96.426,116,117.336,3,50,50,1,2,1,6,NA,5,2,5,3,1,1,1,1,1,2,46,1,50000,3,5,2,1,2,6,1,2,"Food",NA,1,NA,NA,NA,0,"R_3NR1zuMINiZVc4w",FALSE,NA,FALSE,5,"Com",0,0,1,50,50,TRUE,6,5,3,10,1,0,28867.5134594813,0,0,1,0,0,0,1,0,0.529368575624082,-0.515062454077884,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"87",87,"R_1GK9c1emnjUVoxj","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:06","12/15/18 15:13",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.896,70.97,72.202,28,90,10,1,5,1,7,NA,4,2,5,1,1,1,1,1,1,2,63,2,50000,2,4,5,1,1,6,1,2,"food",NA,1,NA,NA,NA,0,"R_1GK9c1emnjUVoxj",FALSE,NA,FALSE,4,"Com",0,0,1,90,10,TRUE,7,7,3,10,1,1,35355.3390593274,1,0,0,1,0,0,1,0,0.529368575624082,0.484937545922116,0.511078286558346,-0.545187362233652,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"88",88,"R_3D6MGkyciperuwz","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:08","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,24.773,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,1,4,1,4,4,NA,2,4,3,1,1,2,1,1,2,27,1,50000,2,4,4,5,2,6,1,2,"basic needs like food and clothes","no",1,NA,NA,NA,0,"R_3D6MGkyciperuwz",FALSE,NA,FALSE,4,"Pov",1,0,0,50,50,TRUE,4,5,4,10,1,0,35355.3390593274,1,0,0,0,1,0,1,0,0.529368575624082,-0.515062454077884,0.511078286558346,-0.545187362233652,0.741366642174871,-0.386480529022777,0.483468038207201,-0.436443791329904
"89",89,"R_2WGVC27rMDPmDH0","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:06","12/15/18 15:13",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,0,0,43.406,0,NA,NA,NA,NA,NA,50,50,1,4,1,3,NA,6,3,4,2,1,1,1,1,1,2,52,2,30000,2,5,5,1,3,6,1,2,"starting a business or training","No, thanks.",1,NA,NA,NA,0,"R_2WGVC27rMDPmDH0",FALSE,NA,FALSE,6,"Ind",0,1,0,50,50,TRUE,3,6,4,10,1,1,21213.2034355964,0,0,1,1,0,0,1,1,0.529368575624082,0.484937545922116,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,0.563556208670096
"90",90,"R_2337edk9mIhNNVN","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:05","12/15/18 15:13",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,0,0,29.584,0,NA,NA,NA,NA,NA,0,100,1,2,1,6,NA,4,2,4,4,1,1,1,2,1,2,33,2,70000,5,5,5,1,1,6,1,2,"It said that it donated directly to the citizens to allow them to invest in their own personal goals. To me they can spend the money on whatever they need. food, clothing, personal care items it's irrelevant as long as it's something they need or want","There were 2 questions on one page, one that asked how much the people would get/ made per day and then who was mentioned that would get the money. I read it very carefully at the beginning and those two questions didn't seem to line up or didn't seem accurate. Maybe I misunderstood something but I read it very thoroughly ",1,NA,NA,NA,0,"R_2337edk9mIhNNVN",FALSE,NA,FALSE,4,"Ind",0,1,0,0,100,TRUE,6,4,4,10,1,1,31304.9516849971,0,1,1,1,0,0,1,0,0.529368575624082,0.484937545922116,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"91",91,"R_2xPPpZKX41vi0K8","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:08","12/15/18 15:13",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,12.689,12.689,17.193,1,NA,NA,NA,NA,NA,95,5,1,4,1,5,4,NA,2,5,5,2,1,1,1,1,3,31,1,50000,1,5,5,1,2,6,1,2,"food",NA,1,NA,NA,NA,0,"R_2xPPpZKX41vi0K8",FALSE,NA,FALSE,4,"Ind",0,1,0,95,5,TRUE,5,3,3,9,0,0,50000,1,0,1,1,0,0,1,0,-0.470631424375918,-0.515062454077884,0.511078286558346,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"92",92,"R_viys5FSH6XlTsUF","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:09","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,31.118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,1,1,1,5,6,NA,1,6,5,2,1,1,1,1,1,52,1,70000,3,3,6,1,1,6,1,1,"drugs","no",1,NA,NA,NA,0,"R_viys5FSH6XlTsUF",FALSE,NA,FALSE,6,"Pov",1,0,0,100,0,FALSE,5,3,2,9,0,0,40414.5188432738,1,1,0,1,0,0,1,0,-0.470631424375918,-0.515062454077884,0.511078286558346,-0.545187362233652,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"93",93,"R_ptmVBinUkZbylFv","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:07","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,46.361,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,20,1,3,1,4,NA,7,3,5,1,7,1,2,1,1,1,37,1,30000,2,2,2,3,2,6,3,1,"Food","None",1,NA,NA,NA,0,"R_ptmVBinUkZbylFv",FALSE,NA,FALSE,7,"Pov",1,0,0,80,20,TRUE,4,7,3,4,0,0,21213.2034355964,0,0,0,0,1,1,1,0,-0.470631424375918,-0.515062454077884,-0.488921713441654,-0.545187362233652,0.741366642174871,0.613519470977223,0.483468038207201,-0.436443791329904
"94",94,"R_Wp93IfhR0EbrOhz","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:07","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,39.195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,1,1,1,8,4,NA,1,6,5,1,1,1,1,1,2,64,1,30000,3,4,6,1,1,6,1,1,"I think they will spend it on basic necessities but it will be a short lived relief due to the one time nature and size of the stipend.","no comments",1,NA,NA,NA,0,"R_Wp93IfhR0EbrOhz",FALSE,NA,FALSE,4,"Pov",1,0,0,50,50,TRUE,8,3,2,10,1,0,17320.5080756888,0,0,0,1,0,0,1,0,0.529368575624082,-0.515062454077884,-0.488921713441654,-0.545187362233652,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"95",95,"R_tQHx6f00tVJIWRj","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:04","12/15/18 15:13",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,103.933,104.332,106.131,2,100,0,1,1,1,4,NA,5,2,5,3,1,1,2,1,1,1,52,1,30000,1,6,3,1,2,6,1,1,"on the recipients",NA,1,NA,NA,NA,0,"R_tQHx6f00tVJIWRj",FALSE,NA,FALSE,5,"Com",0,0,1,100,0,FALSE,4,5,3,10,0,0,30000,0,0,1,0,0,0,1,0,-0.470631424375918,-0.515062454077884,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"96",96,"R_1kGlQFhyLHumxdm","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:02","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,411.689,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,1,1,1,3,5,NA,2,5,4,1,1,1,1,1,1,36,1,30000,1,5,5,1,2,6,1,1,"don't know",NA,1,NA,NA,NA,0,"R_1kGlQFhyLHumxdm",FALSE,NA,FALSE,5,"Pov",1,0,0,100,0,FALSE,3,4,3,10,0,0,30000,0,0,1,1,0,0,1,0,-0.470631424375918,-0.515062454077884,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,-0.436443791329904
"97",97,"R_1GVyyx0eV2EtFga","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:03","12/15/18 15:13",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,0,0,74.436,0,NA,NA,NA,NA,NA,90,10,1,1,1,8,4,NA,1,6,2,1,1,1,1,1,2,50,2,30000,1,5,6,1,3,6,1,1,"I think they'll use the money to buy food.  It's not enough to do much else.","I've never heard of this organization.  If it really exists, I'm not sure that they're doing much good, other than giving people enough money to eat for a few days.  Thanks for posting this online though.  Good luck with your research!",1,NA,NA,NA,0,"R_1GVyyx0eV2EtFga",FALSE,NA,FALSE,4,"Ind",0,1,0,90,10,TRUE,8,6,2,10,1,1,30000,0,0,1,1,0,0,1,1,0.529368575624082,0.484937545922116,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,0.563556208670096
"98",98,"R_30vkKoutBO7QaWC","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:08","12/15/18 15:13",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,4.421,5.639,74.683,3,NA,NA,NA,NA,NA,100,0,1,1,1,5,NA,2,2,4,4,1,1,1,1,1,2,33,1,70000,2,3,3,2,2,2,2,1,"possibly on dates to impress someone of the opposite sex","none",1,NA,NA,NA,0,"R_30vkKoutBO7QaWC",FALSE,NA,FALSE,2,"Ind",0,1,0,100,0,FALSE,5,4,4,10,1,0,49497.4746830583,1,1,0,0,1,0,0,0,0.529368575624082,-0.515062454077884,0.511078286558346,-0.545187362233652,0.741366642174871,-0.386480529022777,-0.516531961792799,-0.436443791329904
"99",99,"R_1FQ9rAzearmCX4b","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:07","12/15/18 15:13",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,64.549,0,100,0,1,1,1,7,NA,3,2,7,5,1,1,1,1,1,2,57,1,50000,3,5,1,1,2,1,5,2,"Food","Survey was not confusing at all.  Thank you for the generous HIT reward.",1,NA,NA,NA,0,"R_1FQ9rAzearmCX4b",FALSE,NA,FALSE,3,"Com",0,0,1,100,0,FALSE,7,3,1,10,1,0,28867.5134594813,0,0,1,0,0,1,0,0,0.529368575624082,-0.515062454077884,-0.488921713441654,0.454812637766348,-0.258633357825129,0.613519470977223,-0.516531961792799,-0.436443791329904
"100",100,"R_2eRM8NPQrnrlzQq","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:07","12/15/18 15:13",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,69.273,0,50,50,1,4,1,8,5,NA,2,1,1,1,1,1,1,1,2,66,2,70000,1,5,3,1,1,1,5,2,"Hopefully books and food","no",1,NA,NA,NA,0,"R_2eRM8NPQrnrlzQq",FALSE,NA,FALSE,5,"Com",0,0,1,50,50,TRUE,8,7,7,10,1,1,70000,1,1,1,0,0,1,0,0,0.529368575624082,0.484937545922116,0.511078286558346,0.454812637766348,-0.258633357825129,0.613519470977223,-0.516531961792799,-0.436443791329904
"101",101,"R_1hQ1nn7bM9EuyOL","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:09","12/15/18 15:13",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,32.186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,10,1,3,1,6,1,NA,1,2,2,7,1,1,1,1,1,37,1,110000,6,5,5,2,1,2,4,2,"the people directly that need the money for food and shelter.","none",1,NA,NA,NA,0,"R_1hQ1nn7bM9EuyOL",FALSE,NA,FALSE,1,"Pov",1,0,0,90,10,TRUE,6,6,6,4,0,0,44907.3119510249,1,1,1,1,1,1,0,0,-0.470631424375918,-0.515062454077884,0.511078286558346,0.454812637766348,0.741366642174871,0.613519470977223,-0.516531961792799,-0.436443791329904
"102",102,"R_1QsWRxKEzvcXhhS","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:07","12/15/18 15:13",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,44.115,0,50,50,1,1,1,7,5,NA,2,4,3,4,1,1,4,1,1,45,2,70000,4,4,2,1,1,1,2,1,"Food ","Thank you!",1,NA,NA,NA,0,"R_1QsWRxKEzvcXhhS",FALSE,NA,FALSE,5,"Com",0,0,1,50,50,TRUE,7,5,4,7,0,1,35000,1,1,0,0,0,0,0,0,-0.470631424375918,0.484937545922116,0.511078286558346,-0.545187362233652,-0.258633357825129,-0.386480529022777,-0.516531961792799,-0.436443791329904
"103",103,"R_2BtA78jrW0bNQ0u","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:04","12/15/18 15:14",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,3.818,5.161,30.424,4,NA,NA,NA,NA,NA,100,0,1,2,1,2,2,NA,2,6,2,1,1,1,1,1,2,35,2,30000,4,5,2,5,3,2,4,2,"daily needs, food",NA,1,NA,NA,NA,0,"R_2BtA78jrW0bNQ0u",FALSE,NA,FALSE,2,"Ind",0,1,0,100,0,FALSE,2,6,2,10,1,1,15000,0,0,1,0,1,1,0,1,0.529368575624082,0.484937545922116,-0.488921713441654,0.454812637766348,0.741366642174871,0.613519470977223,-0.516531961792799,0.563556208670096
